state_index,state,ntrap_cm3,nsheet_cm2,trap_charge_density_C_cm3,VGS_V,VDS_V,ID_A,abs_ID_A,converged,error_message
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.03,6.43387799784972e-09,6.43387799784972e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.04,8.19478678465519e-09,8.19478678465519e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.05,9.713376679226664e-09,9.713376679226664e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.06,1.1002438832064646e-08,1.1002438832064646e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.07,1.2090436088718778e-08,1.2090436088718778e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.08,1.3011978318386955e-08,1.3011978318386955e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.09,1.3801276192166384e-08,1.3801276192166384e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,2.5,0.1,1.4488607187108033e-08,1.4488607187108033e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.0,-2.0882374276177478e-20,2.0882374276177478e-20,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.01,2.3106267401663562e-09,2.3106267401663562e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.02,4.517763114998664e-09,4.517763114998664e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.03,6.539637221590509e-09,6.539637221590509e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.04,8.328122535713413e-09,8.328122535713413e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.05,9.86966621901355e-09,9.86966621901355e-09,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.06,1.1177560119060762e-08,1.1177560119060762e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.07,1.2281022995751799e-08,1.2281022995751799e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.08,1.3215452867039005e-08,1.3215452867039005e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.09,1.4015759903399235e-08,1.4015759903399235e-08,True,
2,State_2,5e+17,250000000000.0,-0.0801088317,3.0,0.1,1.4712789189364674e-08,1.4712789189364674e-08,True,
